                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.58542,                0.45631,                 1.0516,                0.94169,                0.92991,                0.91825,                0.77995,                0.69513,                 0.4153,                 1.0646,               0.001783,               0.001783,               0.001783
                     86,                0.58083,                0.44024,                 1.0428,                0.94887,                0.92205,                0.91428,                 0.7721,                0.72301,                 0.4443,                 1.0859,               0.001684,               0.001684,               0.001684
                     87,                 0.5678,                0.42669,                 1.0438,                 0.9434,                0.92788,                0.92756,                0.78449,                0.69802,                0.43797,                 1.0735,               0.001585,               0.001585,               0.001585
                     88,                0.57907,                0.43536,                 1.0576,                 0.9235,                0.93258,                0.91746,                0.77681,                0.67827,                0.43615,                 1.0615,               0.001486,               0.001486,               0.001486
                     89,                0.57641,                0.43005,                  1.034,                0.93205,                0.92175,                0.92382,                0.77604,                0.66927,                0.41783,                 1.0472,               0.001387,               0.001387,               0.001387
                     90,                 0.5583,                0.44461,                  1.038,                0.94681,                 0.9195,                 0.9406,                0.79369,                0.67336,                0.44592,                 1.0445,               0.001288,               0.001288,               0.001288
                     91,                0.46911,                0.33289,                 1.0311,                0.94521,                 0.9195,                0.94371,                0.79371,                0.68318,                 0.4628,                 1.0466,               0.001189,               0.001189,               0.001189
                     92,                0.44473,                0.30079,                 0.9931,                0.92181,                0.88683,                0.92724,                0.77657,                0.68776,                0.48625,                 1.0474,                0.00109,                0.00109,                0.00109
                     93,                 0.4376,                0.29275,                 0.9831,                0.93805,                0.91221,                0.92917,                0.78667,                0.66509,                0.43908,                 1.0384,               0.000991,               0.000991,               0.000991
                     94,                0.43217,                 0.2935,                0.99528,                0.94793,                0.92108,                0.92427,                0.78188,                0.61724,                0.44166,                 1.0199,               0.000892,               0.000892,               0.000892
                     95,                0.43062,                0.28844,                0.98007,                 0.9489,                0.91917,                0.93026,                0.77289,                0.62041,                0.41434,                 1.0175,               0.000793,               0.000793,               0.000793
                     96,                0.42037,                0.27999,                0.99953,                0.94688,                0.89232,                0.92877,                0.78734,                0.60003,                0.41287,                 1.0043,               0.000694,               0.000694,               0.000694
                     97,                0.42118,                0.28263,                0.99891,                0.94622,                 0.9195,                0.92385,                0.78935,                0.63205,                0.41917,                 1.0153,               0.000595,               0.000595,               0.000595
                     98,                0.40574,                0.27618,                0.98351,                0.94601,                 0.9195,                0.92913,                0.78979,                0.63056,                0.41905,                 1.0211,               0.000496,               0.000496,               0.000496
                     99,                0.40254,                0.26364,                0.96804,                0.94529,                 0.9195,                0.92456,                0.79268,                0.63388,                0.42929,                 1.0193,               0.000397,               0.000397,               0.000397
                    100,                0.39146,                 0.2589,                0.97624,                 0.9441,                 0.9195,                0.92609,                0.79446,                0.62167,                0.41902,                 1.0154,               0.000298,               0.000298,               0.000298
